canonical_id,work_id,title,years,production_year,favorite_count,my_list_count,primary_genre,source_origin,canonical_tags,classification_status,detail_url,attribute_source_url,attribute_fetched_at
danime:10001,10001,とある魔術の禁書目録,2008,2008,143044,190881,ファンタジー,,ファンタジー|バトル・アクション|現代ファンタジー|学園|魔法,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=10001,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=10001,2026-07-25T10:33:29.584Z
danime:10002,10002,キノの旅-the Beautiful World-,2003,2003,46573,50556,ドラマ・青春,,ドラマ・青春|スペキュレーティブ判定保留|成長・挑戦|旅・冒険,needs-review,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=10002,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=10002,2026-07-25T10:55:44.137Z
danime:10003,10003,狼と香辛料,2008,2008,79645,90417,スペキュレーティブ判定保留,ライトノベル・小説,スペキュレーティブ判定保留|友情・仲間,needs-review,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=10003,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=10003,2026-07-25T10:33:29.584Z
danime:10004,10004,乃木坂春香の秘密,2008,2008,12444,16522,恋愛・ラブコメ,,恋愛・ラブコメ|ラブコメ|恋愛,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=10004,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=10004,2026-07-25T10:33:29.584Z
danime:10005,10005,とらドラ!,2008,2008,143104,173292,恋愛・ラブコメ,ライトノベル・小説,恋愛・ラブコメ|ドラマ・青春|ラブコメ|学園|成長・挑戦|恋愛,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=10005,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=10005,2026-07-25T10:33:29.584Z
danime:10006,10006,ケメコデラックス!,2008,2008,5633,6700,恋愛・ラブコメ,漫画,恋愛・ラブコメ|SF|コメディ・ギャグ|ロボットSF|ラブコメ|学園|恋愛|ロボット・メカ,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=10006,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=10006,2026-07-25T10:33:29.584Z
danime:10007,10007,狼と香辛料Ⅱ,2009,2009,41863,47257,スペキュレーティブ判定保留,,スペキュレーティブ判定保留,needs-review,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=10007,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=10007,2026-07-25T10:33:37.520Z
danime:10008,10008,乃木坂春香の秘密 ぴゅあれっつぁ♪,2009,2009,6172,8692,恋愛・ラブコメ,ライトノベル・小説,恋愛・ラブコメ|ラブコメ|学園|恋愛|音楽・アイドル,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=10008,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=10008,2026-07-25T10:33:37.520Z
danime:10009,10009,デュラララ!!,2010,2010,113810,134855,ドラマ・青春,ライトノベル・小説,ドラマ・青春|バトル・アクション|ホラー・サスペンス・ミステリー|学園|成長・挑戦,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=10009,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=10009,2026-07-25T10:33:32.104Z
danime:10011,10011,バカとテストと召喚獣,2010,2010,92398,96824,コメディ・ギャグ,ライトノベル・小説,コメディ・ギャグ|ファンタジー|バトル・アクション|恋愛・ラブコメ|異世界ファンタジー|ラブコメ|異世界|学園|成長・挑戦|恋愛,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=10011,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=10011,2026-07-25T10:33:32.104Z
danime:10012,10012,宇宙皇子(劇場版)(地上編),1988,1988,3212,4242,SF,,SF|スペースオペラ|宇宙,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=10012,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=10012,2026-07-25T10:55:42.105Z
danime:10013,10013,風の大陸 The Weathering Continent,1992,1992,3195,4997,異世界・ハイファンタジー,,異世界・ハイファンタジー|ファンタジー|ドラマ・青春|異世界ファンタジー|現代ファンタジー|異世界|成長・挑戦|旅・冒険|魔法,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=10013,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=10013,2026-07-25T10:32:41.781Z
danime:10014,10014,スレイヤーズ(完全無欠版),1995,1995,12351,11822,異世界・ハイファンタジー,,異世界・ハイファンタジー|ファンタジー|バトル・アクション|コメディ・ギャグ|異世界ファンタジー|異世界,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=10014,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=10014,2026-07-25T10:44:31.771Z
