work_id	title	favorites_count
22636	『タッチ』TVシリーズ	16373
10428	Fairy Princess Minky Momo 夢の中の輪舞	1932
10429	Goshogun In 時の異邦人(エトランゼ)	1731
10377	オーディーン　光子帆船スターライト	1669
23370	おねがい！サミアどん	805
10062	カムイの剣	3337
20317	キン肉マン 逆襲！宇宙かくれ超人	1927
20318	キン肉マン 晴れ姿！正義超人	1844
20316	キン肉マン 正義超人VS古代超人	2074
24687	ゲゲゲの鬼太郎（１９８５年）	4103
26158	ゲゲゲの鬼太郎（第3作）	4048
20439	ダーティペア	8178
28357	ダーティペアの大勝負 ノーランディアの謎	1648
11081	ハイスクール!奇面組	15758
11099	プロゴルファー猿	3081
20445	プロゴルファー猿「SARU IN U.S.A 激突！猿VSホーク -ワイルドプロ決定戦-」	919
24056	へーい！ブンブー	335
10819	メガゾーン23	9575
24064	ライオンブックスシリーズ るんは風の中	463
27965	ルパン三世 バビロンの黄金伝説	3225
23691	幻夢戦記レダ	4242
20446	三国志	5342
20245	小公女セーラ	10571
11321	戦え!! イクサー1	5828
10409	戦え！超ロボット生命体トランスフォーマー	3944
11270	蒼き流星SPTレイズナー	11337
28542	装甲騎兵ボトムズ VOL.I STORIES OF THE”A.T.VOTOMS”	1929
28543	装甲騎兵ボトムズ VOL.II HIGHLIGHTS FROM THE”A.T.VOTOMS”	1151
28544	装甲騎兵ボトムズ ザ・ラストレッドショルダー	2423
10136	超獣機神ダンクーガ(TV)	11178
28919	天使のたまご	8053
27148	魔法のスター マジカルエミ	2159
25556	妖精フローレンス	248
