title	favorites_count
時々ボソッとロシア語でデレる隣のアーリャさん	142581
【推しの子】第2期	128360
負けヒロインが多すぎる！	124810
チ。 ―地球の運動について―	116118
ようこそ実力至上主義の教室へ 3rd Season	104723
ゆるキャン△ SEASON３	94530
アオのハコ	92836
小市民シリーズ	86733
しかのこのこのここしたんたん	84443
2.5次元の誘惑	76824
夏目友人帳 漆	75632
義妹生活	73377
忘却バッテリー	72815
じいさんばあさん若返る	70916
夜のクラゲは泳げない	67432
道産子ギャルはなまらめんこい	66645
姫様“拷問”の時間です	64372
ガールズバンドクライ	64360
黒執事 -寄宿学校編-／-緑の魔女編-	64112
佐々木とピーちゃん	64019
ワンルーム、日当たり普通、天使つき。	63424
甘神さんちの縁結び	63024
響け！ユーフォニアム３	58555
先輩はおとこのこ	56300
VTuberなんだが配信切り忘れたら伝説になってた	53218
ATRI -My Dear Moments-	50658
合コンに行ったら女がいなかった話	50323
来世は他人がいい	48749
怪異と乙女と神隠し	48441
疑似ハーレム	47037
ゆびさきと恋々	46568
弱キャラ友崎くん 2nd STAGE	45602
恋は双子で割り切れない	43715
〈物語〉シリーズ オフ&モンスターシーズン	43059
劇場版ハイキュー!! ゴミ捨て場の決戦	41907
終末トレインどこへいく？	41780
もめんたりー・リリィ	41277
休日のわるものさん	41149
妖怪学校の先生はじめました！	40827
天穂のサクナヒメ	40311
花野井くんと恋の病	39242
女神のカフェテラス（第2期）	38058
変人のサラダボウル	37739
僕の心のヤバイやつ 第２期	36947
TVアニメ「30歳まで童貞だと魔法使いになれるらしい」	35318
烏は主を選ばない	34728
ぽんのみち	33242
株式会社マジルミエ	32513
鴨乃橋ロンの禁断推理 2nd Season	32297
百千さん家のあやかし王子	30863
バーテンダー 神のグラス	30194
ラーメン赤猫	29825
時光代理人 -LINK CLICK- Ⅱ	29109
菜なれ花なれ	28727
結婚するって、本当ですか	28415
多数欠	27440
監禁区域レベルX	27126
下の階には澪がいる	26903
妻、小学生になる。	26386
かつて魔法少女と悪は敵対していた。	26186
僕の妻は感情がない	25910
五等分の花嫁＊	24903
アニメ「アイドルマスター シャイニーカラーズ」	24491
黄昏アウトフォーカス	24461
真夜中ぱんチ	24451
トリリオンゲーム	22373
ヴァンパイア男子寮	22041
凍牌～裏レート麻雀闘牌録～	21216
劇場版ブルーロック -EPISODE 凪-	21114
ネガポジアングラー	20457
声優ラジオのウラオモテ	20392
となりの妖怪さん	20334
わたしの幸せな結婚 第十三話	20086
時空の隙	19867
HIGHSPEED Étoile	19739
ラブライブ！スーパースター!!TVアニメ3期	17143
この恋で鼻血を止めて	15534
女神降臨	15447
ルックバック	15278
新テニスの王子様 U-17 WORLD CUP SEMIFINAL	14744
ねこに転生したおじさん	14531
オーイ！とんぼ	14106
ただいま、おかえり	13805
映画 ギヴン 柊mix	13745
劇場版『ウマ娘 プリティーダービー 新時代の扉』	12924
殿と犬	12803
鬼太郎誕生 ゲゲゲの謎 真生版	12740
映画 ギヴン 海へ	12263
夏目友人帳 漆 第十三話(特別編) 伸ばした手は	11530
アストロノオト	11503
パリピ孔明 Road to Summer Sonia	11389
ONE PIECE FAN LETTER	9733
まぁるい彼女と残念な彼氏	9157
きみの色	8594
きのこいぬ	8323
ハミダシクリエイティブ	8098
映画『ラブライブ！虹ヶ咲学園スクールアイドル同好会 完結編 第1章』	8017
GREAT PRETENDER razbliuto	7224
百姓貴族 2nd Season	6983
イナズマイレブン・ザ・ムービー 2025	6977
劇場版「BanG Dream! It's MyGO!!!!! 前編 : 春の陽だまり、迷い猫」	6750
トラペジウム	6594
声優に丸なげ！	6171
リンカイ！	6106
時光代理人 -LINK CLICK- Ⅱ（字幕版）	5930
にじよん あにめーしょん２	5837
がんばっていきまっしょい	5570
あんさんぶるスターズ！！追億セレクション『チェックメイト』	5542
マーダーミステリー・オブ・ザ・デッド	5245
じゃんたま カン！！	5205
ゆびさきと恋々（字幕版）	4979
劇場版「BanG Dream! It's MyGO!!!!! 後編 : うたう、僕らになれるうた & FILM LIVE」	4638
現代誤訳／超電導会議 ～Documentary of 現代誤訳～	4498
クラメルカガリ	4342
KING OF PRISM -Dramatic PRISM.1-	4296
エグミレガシー	4113
あたしンちNEXT	3648
エルフさんは痩せられない。 ミニアニメ「直江くんは痩せさせたい。」	3409
貼りまわれ！こいぬ	3152
銀魂オンシアター2D 一国傾城篇	2961
お買いものパンダ！	2784
Animelo Summer Live 2024 -Stargazer-	2646
銀魂オンシアター2D 金魂篇	2566
闇芝居 十三期	2334
闇芝居 十四期	2272
i☆Ris the Movie - Full Energy!! -	2119
カードファイト!! ヴァンガード Divinez	2032
LoveLive! Series Presents ユニット甲子園 2024	1817
チェリまほサマフェス	1558
劇場版すとぷり はじまりの物語～Strawberry School Festival!!!～	1525
SHIBUYA♡HACHI	1493
<サイエンスSARU×MBSオリジナルショートアニメ大作戦！> オオクニヌシとスクナビコナ	1491
カードファイト!! ヴァンガード Divinez Season2	1477
ぬいストーリー2	1477
演劇【推しの子】2.5次元舞台編	1375
にじよん あにめーしょん2 第13～15話（Blu-ray特典映像）	1270
あんた売れないわよ！	1211
<サイエンスSARU×MBSオリジナルショートアニメ大作戦！> パンテオンの鳥	1163
五等分の花嫁 5th Anniversary EVENT in 横浜アリーナ DAY2	1081
ラブライブ！スーパースター!! Liella! 5th LoveLive! ～Twinkle Triangle～	1056
きみはな～君に届ける花ことば～	974
ばなにゃ あらうんど ざ わーるど	961
<サイエンスSARU×MBSオリジナルショートアニメ大作戦！> MOON	952
Warmth in a Puddle	933
【放映版】こうしす！EE 総集編映画版 ～こちら京姫鉄道広報部システム課～	894
Paradox Live 2MAN SHOW ～The Cat’s Whiskers×獄Luck～	817
舞台『パリピ孔明』	807
Paradox Live 2MAN SHOW ～cozmez×1Nm8～	792
舞台『東京リベンジャーズ』～天竺編～	762
UCHIDA MAAYA Live Tour 2023 Happy Research! HIKARI	722
SHIBUYA♡HACHI 第2クール	714
Paradox Live 2MAN SHOW ～BAE×AMPRULE～	704
Paradox Live 2MAN SHOW ～悪漢奴等×VISTY～	698
新ミュージカル「スタミュ」	651
舞台『アオペラ』全景映像	645
鬼頭明里 Zepp TOUR 2023「Glow up!!」	643
ミニミニminini	587
MANKAI STAGE『A3!』ACT2! ～WINTER 2024～	529
ITO MIKU Live Tour 2024『from now on』	529
新ミュージカル「スタミュ」 スピンオフ team柊 単独公演「Caribbean Groove」	519
短編人形アニメーション こまねこのかいがいりょこう	489
劇団『ドラマティカ』ACT3／カラ降るワンダフル！	451
新・喜劇「おそ松さん」【特典映像付】	447
舞台「フルーツバスケット The Final」	434
舞台『ブルーロック』3rd STAGE	434
Live & Documentary Movie i ☆ Ris on STAGE	424
舞台『ブルーロック』2nd STAGE	420
F6 LIVE「Destination」【特典映像付】	308
ミュージカル『青春-AOHARU-鉄道』6～ハッピーレール大作戦～	282
ミュージカル「DREAM!ing～FUN!:C’est la vie～」	279
Miho Okasaki 1st LIVE 2024 ～キラメキブルーム～ supported by animelo	258
Identity V STAGE Episode4 『Phantom of The Monochrome』Side:S	234
Paradox Live on Stage THE LIVE ～All ARTISTS～	214
青山オペレッタ THE STAGE ～メッザ・ルーナ／光と影～（メイキング付）	143
Spicy Candy 2期	56
